round,race_name,race_name_ja,circuit,location,date_start,date_end
1,Austrian Grand Prix,オーストリアGP,Red Bull Ring,"Spielberg, Austria",2020-07-05,2020-07-05
2,Styrian Grand Prix,シュタイアーマルクGP,Red Bull Ring,"Spielberg, Austria",2020-07-12,2020-07-12
3,Hungarian Grand Prix,ハンガリーGP,Hungaroring,"Budapest, Hungary",2020-07-19,2020-07-19
4,British Grand Prix,イギリスGP,Silverstone Circuit,"Silverstone, UK",2020-08-02,2020-08-02
5,70th Anniversary Grand Prix,70周年記念GP,Silverstone Circuit,"Silverstone, UK",2020-08-09,2020-08-09
6,Spanish Grand Prix,スペインGP,Circuit de Barcelona-Catalunya,"Barcelona, Spain",2020-08-16,2020-08-16
7,Belgian Grand Prix,ベルギーGP,Circuit de Spa-Francorchamps,"Spa-Francorchamps, Belgium",2020-08-30,2020-08-30
8,Italian Grand Prix,イタリアGP,Autodromo Nazionale di Monza,"Monza, Italy",2020-09-06,2020-09-06
9,Tuscan Grand Prix,トスカーナGP,Nürburgring,"Mugello, Italy",2020-10-11,2020-10-11
10,Russian Grand Prix,ロシアGP,Sochi Autodrom,"Sochi, Russia",2020-09-27,2020-09-27
11,Eifel Grand Prix,アイフェルGP,Nürburgring,"Nürburg, Germany",2020-10-11,2020-10-11
12,Portuguese Grand Prix,ポルトガルGP,Algarve International Circuit,"Portimão, Portugal",2020-10-25,2020-10-25
13,Emilia Romagna Grand Prix,エミリア・ロマーニャGP,"""Autodromo Internazionale """"Enzo e Dino Ferrari""""""","Imola, Italy",2020-11-01,2020-11-01
14,Turkish Grand Prix,トルコGP,Istanbul Park,"Istanbul, Turkey",2020-11-15,2020-11-15
15,Bahrain Grand Prix,バーレーンGP,Bahrain International Circuit,"Sakhir, Bahrain",2020-11-29,2020-11-29
16,Sakhir Grand Prix,サヒールGP,Bahrain International Circuit,"Sakhir, Bahrain",2020-12-06,2020-12-06
17,Abu Dhabi Grand Prix,アブダビGP,Yas Marina Circuit,"Abu Dhabi, UAE",2020-12-13,2020-12-13
