round,position,driver_code,driver_name,team,points,grid,laps,time,status
1,1,BOT,Valtteri Bottas,Mercedes,25,1,71,30:55.7,Finished
1,2,LEC,Charles Leclerc,Ferrari,18,7,71,2.7,Finished
1,3,NOR,Lando Norris,McLaren,16,3,71,5.491,Finished
1,4,HAM,Lewis Hamilton,Mercedes,12,5,71,+5.689 1,Finished
1,5,SAI,Carlos Sainz,McLaren,10,8,71,8.903,Finished
1,6,PER,Sergio Perez,Racing Point,8,6,71,+15.092 2,Finished
1,7,GAS,Pierre Gasly,AlphaTauri,6,12,71,16.682,Finished
1,8,OCO,Esteban Ocon,Renault,4,14,71,17.456,Finished
1,9,GIO,Antonio Giovinazzi,Alfa Romeo,2,18,71,21.146,Finished
1,10,VET,Sebastian Vettel,Ferrari,1,11,71,24.545,Finished
1,11,LAT,Nicholas Latifi,Williams,0,20,71,31.65,Finished
1,12,KVY,Daniil Kvyat,AlphaTauri,0,13,69,サスペンション,Finished
1,13,ALB,Alexander Albon,Red Bull,0,4,69,電気系統,Finished
1,0,RAI,Kimi Raikkonen,Alfa Romeo,0,19,53,ホイール,Retired
1,0,RUS,George Russell,Williams,0,18,49,燃圧,Retired
1,0,GRO,Romain Grosjean,Haas,0,15,49,ブレーキ,Retired
1,0,MAG,Kevin Magnussen,Haas,0,16,24,ブレーキ,Retired
1,0,STR,Lance Stroll,Racing Point,0,9,20,パワーユニット,Retired
1,0,RIC,Daniel Ricciardo,Renault,0,10,17,オーバーヒート,Retired
1,0,VER,Max Verstappen,Red Bull,0,2,11,電気系統,Retired
2,1,HAM,Lewis Hamilton,Mercedes,25,1,71,22:50.7,Finished
2,2,BOT,Valtteri Bottas,Mercedes,18,4,71,13.719,Finished
2,3,VER,Max Verstappen,Red Bull,15,2,71,33.698,Finished
2,4,ALB,Alexander Albon,Red Bull,12,6,71,44.4,Finished
2,5,NOR,Lando Norris,McLaren,10,9,71,+1:01.470,Finished
2,6,PER,Sergio Perez,Racing Point,8,17,71,+1:02.387,Finished
2,7,STR,Lance Stroll,Racing Point,6,12,71,+1:02.453,Finished
2,8,RIC,Daniel Ricciardo,Renault,4,8,71,+1:02.591,Finished
2,9,SAI,Carlos Sainz,McLaren,3,3,70,+1 Lap,Finished
2,10,KVY,Daniil Kvyat,AlphaTauri,1,13,70,+1 Lap,Finished
2,11,RAI,Kimi Raikkonen,Alfa Romeo,0,16,70,+1 Lap,Finished
2,12,MAG,Kevin Magnussen,Haas,0,15,70,+1 Lap,Finished
2,13,GRO,Romain Grosjean,Haas,0,0,70,+1 Lap,Finished
2,14,GIO,Antonio Giovinazzi,Alfa Romeo,0,19,70,+1 Lap,Finished
2,15,GAS,Pierre Gasly,AlphaTauri,0,7,70,+1 Lap,Finished
2,16,RUS,George Russell,Williams,0,11,69,+2 Laps,Finished
2,17,LAT,Nicholas Latifi,Williams,0,18,69,+2 Laps,Finished
2,0,OCO,Esteban Ocon,Renault,0,5,25,オーバーヒート,Retired
2,0,LEC,Charles Leclerc,Ferrari,0,14,4,接触ダメージ,Retired
2,0,VET,Sebastian Vettel,Ferrari,0,10,1,接触,Retired
3,1,HAM,Lewis Hamilton,Mercedes,26,1,70,36:12.5,Finished
3,2,VER,Max Verstappen,Red Bull,18,7,70,8.702,Finished
3,3,BOT,Valtteri Bottas,Mercedes,15,2,70,9.452,Finished
3,4,STR,Lance Stroll,Racing Point,12,3,70,57.579,Finished
3,5,ALB,Alexander Albon,Red Bull,10,13,70,+1:18.316,Finished
3,6,VET,Sebastian Vettel,Ferrari,8,5,69,+1 Lap,Finished
3,7,PER,Sergio Perez,Racing Point,6,4,69,+1 Lap,Finished
3,8,RIC,Daniel Ricciardo,Renault,4,11,69,+1 Lap,Finished
3,9,SAI,Carlos Sainz,McLaren,2,9,69,+1 Lap,Finished
3,10,MAG,Kevin Magnussen,Haas,1,16,69,+1 Lap 1,Finished
3,11,LEC,Charles Leclerc,Ferrari,0,6,69,+1 Lap,Finished
3,12,KVY,Daniil Kvyat,AlphaTauri,0,17,69,+1 Lap,Finished
3,13,NOR,Lando Norris,McLaren,0,8,69,+1 Lap,Finished
3,14,OCO,Esteban Ocon,Renault,0,14,69,+1 Lap,Finished
3,15,RAI,Kimi Raikkonen,Alfa Romeo,0,20,69,+1 Lap,Finished
3,16,GRO,Romain Grosjean,Haas,0,18,69,+1 Lap 1,Finished
3,17,GIO,Antonio Giovinazzi,Alfa Romeo,0,19,69,+1 Lap,Finished
3,18,RUS,George Russell,Williams,0,12,69,+1 Lap,Finished
3,19,LAT,Nicholas Latifi,Williams,0,15,65,+5 Laps,Finished
3,0,GAS,Pierre Gasly,AlphaTauri,0,10,15,ギアボックス[28],Retired
4,1,HAM,Lewis Hamilton,Mercedes,25,1,52,28:01.3,Finished
4,2,VER,Max Verstappen,Red Bull,19,3,52,5.856,Finished
4,3,LEC,Charles Leclerc,Ferrari,15,4,52,18.474,Finished
4,4,RIC,Daniel Ricciardo,Renault,12,8,52,19.65,Finished
4,5,NOR,Lando Norris,McLaren,10,5,52,22.277,Finished
